year,species
2014,Falco peregrinus
2014,Chalcophaps indica
2014,Psilopogon nuchalis
2014,Copsychus malabaricus
2014,Accipiter trivirgatus
2014,Chalcophaps indica
2014,Myophonus insularis
2014,Alcedo atthis
2014,Streptopelia chinensis
2014,Chalcophaps indica
2014,Dendrocitta formosae
2014,Turdus niveiceps
2014,Chalcophaps indica
2014,Apus nipalensis
2014,Ficedula narcissina
2014,Pycnonotus sinensis
2014,Accipiter trivirgatus
2014,Dendrocitta formosae
2014,Psilopogon nuchalis
2014,Motacilla alba
2014,Gorsachius melanolophus
2014,Accipiter trivirgatus
2014,Alcedo atthis
2014,Passer montanus
2014,Passer montanus
2014,Lanius schach
2014,Passer montanus
2014,Sitta europaea
2014,Hypothymis azurea
2014,Monticola solitarius
2014,Caprimulgus affinis
2014,Glaucidium brodiei
2014,Acrocephalus orientalis
2014,Streptopelia chinensis
2014,Accipiter trivirgatus
2014,Accipiter trivirgatus
2014,Pycnonotus sinensis
2014,Pycnonotus sinensis
2014,Alcedo atthis
2014,Alcedo atthis
2014,Hypothymis azurea
2014,Lonchura striata
2014,Lonchura striata
2014,Lonchura striata
2014,Passer montanus
2014,Streptopelia tranquebarica
2014,Bubulcus ibis
2014,Passer montanus
2014,Pitta nympha
2014,Pycnonotus sinensis
2014,Psilopogon nuchalis
2014,Chalcophaps indica
2014,Alcedo atthis
2014,Passer montanus
2014,Streptopelia chinensis
2014,Columba livia
2014,Passer montanus
2014,Streptopelia tranquebarica
2014,Passer montanus
2014,Psilopogon nuchalis
2014,Acridotheres javanicus
2014,Motacilla alba
2014,Passer montanus
2014,Passer montanus
2014,Psilopogon nuchalis
2014,Myiomela leucura
2014,Passer montanus
2014,Myiomela leucura
2014,Zosterops simplex
2014,Chalcophaps indica
2014,Chalcophaps indica
2014,Pycnonotus sinensis
2014,Passer montanus
2014,Urocissa caerulea
2014,Pitta nympha
2014,Streptopelia orientalis
2014,Psilopogon nuchalis
2014,Prinia inornata
2014,Psilopogon nuchalis
2014,Psilopogon nuchalis
2014,Columba livia
2014,Passer montanus
2014,Passer montanus
2014,Streptopelia tranquebarica
2014,Larvivora cyane
2014,Tarsiger johnstoniae
2014,Chalcophaps indica
2014,Monticola solitarius
2014,Columba livia
2014,Monticola solitarius
2014,Locustella lanceolata
2014,Psilopogon nuchalis
2014,Monticola solitarius
2014,Zosterops simplex
2014,Passer montanus
2014,Alcedo atthis
2014,Psilopogon nuchalis
2014,Cuculus optatus
2014,Dendrocitta formosae
2014,Passer montanus
2014,Streptopelia chinensis
2014,Psilopogon nuchalis
2014,Psilopogon nuchalis
2014,Alcedo atthis
2014,Niltava vivida
2014,Pycnonotus sinensis
2014,Ficedula narcissina
2014,Accipiter trivirgatus
2014,Alcedo atthis
2014,Turdus pallidus
2014,Accipiter trivirgatus
2014,Turdus pallidus
2014,Streptopelia chinensis
2014,Chalcophaps indica
2014,Turdus pallidus
2014,Streptopelia chinensis
2014,Horornis canturians
2014,Psilopogon nuchalis
2014,Streptopelia tranquebarica
2014,Spizixos semitorques
2014,Heterophasia auricularis
2014,Turdus pallidus
2014,Dendrocitta formosae
2014,Zoothera aurea
2014,Carpodacus formosanus
2014,Turdus pallidus
2014,Copsychus saularis
2014,Chalcophaps indica
2014,Turdus chrysolaus
2014,Accipiter virgatus
2014,Apus nipalensis
2014,Turdus pallidus
2014,Turdus pallidus
2014,Turdus pallidus
2014,Turdus pallidus
2014,Turdus chrysolaus
2015,Turdus pallidus
2015,Chalcophaps indica
2015,Psilopogon nuchalis
2015,Accipiter trivirgatus
2015,Psilopogon nuchalis
2015,Turnix suscitator
2015,Psilopogon nuchalis
2015,Zoothera sp.
2015,Streptopelia tranquebarica
2015,Accipiter trivirgatus
2015,Phoenicurus auroreus
2015,Psilopogon nuchalis
2015,Identified to Family: Columbidae
2015,Chalcophaps indica
2015,Psilopogon nuchalis
2015,Turdus pallidus
2015,Turdus pallidus
2015,Pycnonotus sinensis
2015,Accipiter trivirgatus
2015,Pandion haliaetus
2015,Chalcophaps indica
2015,Zoothera sp.
2015,Passer montanus
2015,Turdus pallidus
2015,Turdus pallidus
2015,Psilopogon nuchalis
2015,Turdus pallidus
2015,Turdus hortulorum
2015,Accipiter trivirgatus
2015,Turdus chrysolaus
2015,Garrulax taewanus
2015,Accipiter trivirgatus
2015,Hypsipetes leucocephalus
2015,Hirundo tahitica
2015,Streptopelia chinensis
2015,Passer montanus
2015,Turdus pallidus
2015,Turdus pallidus
2015,Turdus niveiceps
2015,Pycnonotus sinensis
2015,Psilopogon nuchalis
2015,Zosterops simplex
2015,Turdus pallidus
2015,Streptopelia tranquebarica
2015,Turdus pallidus
2015,Streptopelia chinensis
2015,Hirundo rustica
2015,Pycnonotus sinensis
2015,Turdus pallidus
2015,Caprimulgus affinis
2015,Alcedo atthis
2015,Zosterops simplex
2015,Bombycilla garrulus
2015,Psilopogon nuchalis
2015,Turnix suscitator
2015,Passer montanus
2015,Pycnonotus taivanus
2015,Psilopogon nuchalis
2015,Yungipicus canicapillus
2015,Otus lettia
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Pycnonotus sinensis
2015,Accipiter trivirgatus
2015,Accipiter trivirgatus
2015,Chalcophaps indica
2015,Psilopogon nuchalis
2015,Psilopogon nuchalis
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Calliope calliope
2015,Pitta nympha
2015,Chalcophaps indica
2015,Prinia inornata
2015,Alcedo atthis
2015,Pitta nympha
2015,Passer montanus
2015,Pycnonotus sinensis
2015,Aplonis panayensis
2015,Passer montanus
2015,Pycnonotus sinensis
2015,Streptopelia tranquebarica
2015,Passer montanus
2015,Chalcophaps indica
2015,Passer montanus
2015,Zosterops meyeni
2015,Chalcophaps indica
2015,Passer montanus
2015,Chalcophaps indica
2015,Halcyon coromanda
2015,Pycnonotus sinensis
2015,Passer montanus
2015,Streptopelia tranquebarica
2015,Passer montanus
2015,Chalcophaps indica
2015,Psilopogon nuchalis
2015,Cuculus optatus
2015,Chalcophaps indica
2015,Accipiter trivirgatus
2015,Streptopelia tranquebarica
2015,Psilopogon nuchalis
2015,Chalcophaps indica
2015,Passer montanus
2015,Chalcophaps indica
2015,Nycticorax nycticorax
2015,Hirundo tahitica
2015,Nycticorax nycticorax
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Columba livia
2015,Pycnonotus sinensis
2015,Streptopelia chinensis
2015,Pycnonotus taivanus
2015,Alcedo atthis
2015,Chalcophaps indica
2015,Accipiter trivirgatus
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Accipiter virgatus
2015,Accipiter virgatus
2015,Alcedo atthis
2015,Turnix suscitator
2015,Chalcophaps indica
2015,Passer montanus
2015,Passer montanus
2015,Hypsipetes leucocephalus
2015,Myiomela leucura
2015,Chalcophaps indica
2015,Passer montanus
2015,Pycnonotus sinensis
2015,Chalcophaps indica
2015,Chalcophaps indica
2015,Streptopelia chinensis
2015,Psilopogon nuchalis
2015,Passer montanus
2015,Apus nipalensis
2015,Passer montanus
2015,Accipiter trivirgatus
2015,Streptopelia chinensis
2015,Myiomela leucura
2015,Accipiter trivirgatus
2015,Chalcophaps indica
2015,Lanius cristatus
2015,Alcedo atthis
2015,Hierococcyx sparverioides
2015,Larvivora cyane
2015,Passer montanus
2015,Psilopogon nuchalis
2015,Monticola solitarius
2015,Hypsipetes leucocephalus
2015,Phalaropus lobatus
2015,Zosterops meyeni
2015,Locustella ochotensis
2015,Pitta nympha
2015,Lanius cristatus
2015,Lonchura punctulata
2015,Monticola solitarius
2015,Pycnonotus taivanus
2015,Phylloscopus coronatus
2015,Psilopogon nuchalis
2015,Psilopogon nuchalis
2015,Pycnonotus taivanus
2015,Alcedo atthis
2015,Accipiter trivirgatus
2015,Cuculus optatus
2015,Locustella lanceolata
2015,Ninox japonica
2015,Zoothera aurea
2015,Psilopogon nuchalis
2015,Turdus pallidus
2015,Zoothera aurea
2015,Chalcophaps indica
2015,Streptopelia chinensis
2015,Lanius cristatus
2015,Alcedo atthis
2015,Chalcophaps indica
2015,Accipiter gularis
2015,Psilopogon nuchalis
2015,Gorsachius melanolophus
2015,Phoenicurus fuliginosus
2015,Ixobrychus eurhythmus
2015,Turdus obscurus
2015,Lonchura punctulata
2015,Pycnonotus taivanus
2015,Phoenicurus auroreus
2015,Myiomela leucura
2015,Accipiter nisus
2015,Streptopelia tranquebarica
2015,Gorsachius melanolophus
2015,Turdus pallidus
2015,Horornis canturians
2015,Turdus cardis
2015,Turdus pallidus
2015,Turdus pallidus
2015,Psilopogon nuchalis
2015,Turdus pallidus
2015,Niltava sp.
2015,Zoothera dauma
2015,Accipiter trivirgatus
2015,Pycnonotus sinensis
2015,Zoothera aurea
2015,Turdus pallidus
2015,Pycnonotus taivanus
2015,Psilopogon nuchalis
2015,Ficedula mugimaki
2015,Psilopogon nuchalis
2015,Turdus pallidus
2015,Turdus pallidus
2015,Hypsipetes amaurotis
2015,Rallus indicus
2015,Turdus pallidus
2015,Psilopogon nuchalis
2015,Alcedo atthis
2015,Psilopogon nuchalis
2015,Zoothera aurea
2015,Turdus pallidus
2015,Psilopogon nuchalis
2015,Hypsipetes leucocephalus
2015,Turdus hortulorum
2015,Turdus chrysolaus
2015,Turdus pallidus
2015,Turdus chrysolaus
2015,Accipiter trivirgatus
2015,Zosterops simplex
2015,Chalcophaps indica
2015,Accipiter trivirgatus
2015,Identified to Class: Aves
2015,Streptopelia chinensis
2015,Zoothera aurea
2015,Turdus chrysolaus
2015,Accipiter virgatus
2015,Turdus pallidus
2015,Streptopelia chinensis
2015,Accipiter trivirgatus
2015,Phasianus colchicus
2015,Acridotheres tristis
2016,Turdus pallidus
2016,Turdus pallidus
2016,Psilopogon nuchalis
2016,Accipiter trivirgatus
2016,Psilopogon nuchalis
2016,Identified to Class: Aves
2016,Turdus pallidus
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Apus nipalensis
2016,Alcedo atthis
2016,Psilopogon nuchalis
2016,Passer montanus
2016,Accipiter trivirgatus
2016,Calliope calliope
2016,Psilopogon nuchalis
2016,Turdus pallidus
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Apus nipalensis
2016,Accipiter trivirgatus
2016,Lonchura striata
2016,Turdus pallidus
2016,Streptopelia tranquebarica
2016,Accipiter trivirgatus
2016,Turdus pallidus
2016,Alcedo atthis
2016,Turdus pallidus
2016,Streptopelia chinensis
2016,Chalcophaps indica
2016,Psilopogon nuchalis
2016,Turdus pallidus
2016,Chalcophaps indica
2016,Chalcophaps indica
2016,Phoenicurus auroreus
2016,Turdus pallidus
2016,Amaurornis phoenicurus
2016,Pycnonotus taivanus
2016,Streptopelia tranquebarica
2016,Phasianus colchicus
2016,Pycnonotus sinensis
2016,Phasianus colchicus
2016,Chalcophaps indica
2016,Passer montanus
2016,Psilopogon nuchalis
2016,Chalcophaps indica
2016,Streptopelia chinensis
2016,Myophonus insularis
2016,Identified to Family: Columbidae
2016,Treron formosae
2016,Turdus pallidus
2016,Chalcophaps indica
2016,Hypsipetes leucocephalus
2016,Dendrocitta formosae
2016,Streptopelia orientalis
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Turdus chrysolaus
2016,Pycnonotus sinensis
2016,Myiomela leucura
2016,Psilopogon nuchalis
2016,Alcedo atthis
2016,Psilopogon nuchalis
2016,Heterophasia auricularis
2016,Dendrocitta formosae
2016,Turnix suscitator
2016,Pitta nympha
2016,Pitta nympha
2016,Myiomela leucura
2016,Pitta nympha
2016,Elanus caeruleus
2016,Streptopelia chinensis
2016,Psilopogon nuchalis
2016,Clamator coromandus
2016,Accipiter gularis
2016,Hypothymis azurea
2016,Chalcophaps indica
2016,Pycnonotus sinensis
2016,Accipiter trivirgatus
2016,Accipiter trivirgatus
2016,Psilopogon nuchalis
2016,Passer montanus
2016,Halcyon coromanda
2016,Halcyon coromanda
2016,Chalcophaps indica
2016,Zosterops simplex
2016,Passer montanus
2016,Zosterops simplex
2016,Zosterops simplex
2016,Chalcophaps indica
2016,Passer montanus
2016,Psilopogon nuchalis
2016,Pomatorhinus musicus
2016,Accipiter trivirgatus
2016,Corvus macrorhynchos
2016,Streptopelia chinensis
2016,Tarsiger johnstoniae
2016,Chalcophaps indica
2016,Passer montanus
2016,Myiomela leucura
2016,Alcedo atthis
2016,Accipiter virgatus
2016,Zosterops simplex
2016,Alcedo atthis
2016,Psilopogon nuchalis
2016,Chalcophaps indica
2016,Chalcophaps indica
2016,Psilopogon nuchalis
2016,Passer montanus
2016,Zosterops simplex
2016,Streptopelia chinensis
2016,Accipiter trivirgatus
2016,Psilopogon nuchalis
2016,Alcedo atthis
2016,Chalcophaps indica
2016,Chalcophaps indica
2016,Cuculus optatus
2016,Accipiter trivirgatus
2016,Accipiter virgatus
2016,Chalcophaps indica
2016,Chalcophaps indica
2016,Pycnonotus sinensis
2016,Cyornis brunneatus
2016,Lanius cristatus
2016,Chalcophaps indica
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Pitta nympha
2016,Pitta nympha
2016,Hierococcyx sparverioides
2016,Alcedo atthis
2016,Clamator coromandus
2016,Alcedo atthis
2016,Accipiter trivirgatus
2016,Halcyon coromanda
2016,Alcedo atthis
2016,Alcedo atthis
2016,Alcedo atthis
2016,Treron sieboldii
2016,Cuculus optatus
2016,Chalcophaps indica
2016,Alcedo atthis
2016,Phylloscopus borealis
2016,Falco peregrinus
2016,Halcyon coromanda
2016,Ficedula narcissina
2016,Otus sunia
2016,Psilopogon nuchalis
2016,Zosterops simplex
2016,Psilopogon nuchalis
2016,Ninox japonica
2016,Accipiter trivirgatus
2016,Chalcophaps indica
2016,Psilopogon nuchalis
2016,Chalcophaps indica
2016,Halcyon coromanda
2016,Falco tinnunculus
