year,month,day,latitude,longitude,location quality,individuals,source,state,family,species
2012,11,6,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2012,11,6,23.12557683,120.31838,precise,1,Facebook,captured,Passeridae,Passer montanus
2012,11,7,23.92478849,120.655516,vague,1,Facebook,found dead,Accipitridae,Accipiter trivirgatus
2012,11,8,24.44812,120.88139,precise,1,TaiRON,found dead,Muscicapidae,Myiomela leucura
2012,11,9,--,--,not provided,1,Facebook,captured: released afterward,Strigidae,Ninox japonica
2012,11,10,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,11,15,24.93968777,121.3348642,acceptable,1,Facebook,sent to rescue center,Turdidae,Turdus obscurus
2012,11,16,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,11,17,24.13295694,120.4901621,acceptable,1,Facebook,captured,Zosteropidae,Zosterops simplex
2012,11,19,--,--,not provided,1,Facebook,captured: flew away afterward,Turdidae,Turdus mandarinus
2012,11,24,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2012,11,25,24.94042668,121.3343337,acceptable,1,Facebook,sent to rescue center,Turdidae,Turdus pallidus
2012,11,27,24.96918917,121.2237919,precise,1,Facebook,uncertain,Turdidae,Turdus pallidus
2012,12,3,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,12,6,24.9704092,121.926191,precise,1,Facebook,uncertain,Muscicapidae,Phoenicurus auroreus
2012,12,6,24.88529374,121.5568323,precise,1,Facebook,captured: flew away afterward,Turdidae,Turdus pallidus
2012,12,7,24.078377,120.701806,precise,1,TaiRON,found dead,Megalaimidae,Psilopogon nuchalis
2012,12,7,--,--,not provided,1,Facebook,found dead,Turdidae,Turdus pallidus
2012,12,8,--,--,not provided,1,Facebook,found dead,Turdidae,Zoothera aurea
2012,12,8,23.90654714,120.5339843,precise,1,Facebook,captured,Accipitridae,Accipiter trivirgatus
2012,12,11,23.043797,121.195874,precise,1,TaiRON,found dead,Turdidae,Zoothera sp.
2012,12,13,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2012,12,14,24.682334,121.77292,precise,1,TaiRON,found dead,Turdidae,Turdus pallidus
2012,12,20,25.04907007,121.6291819,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2012,12,25,22.76832457,121.1204352,precise,1,Facebook,uncertain,Sturnidae,Sturnia sinensis
2012,12,27,25.00092891,121.5593883,acceptable,1,Facebook,found dead,Zosteropidae,Zosterops simplex
2012,12,31,--,--,not provided,1,Facebook,captured: released afterward,Turdidae,Zoothera aurea
2012,--,--,23.91843974,121.5015892,acceptable,1,Facebook,captured: released afterward,Turdidae,Zoothera aurea
2012,--,--,23.91843974,121.5015892,acceptable,1,Facebook,captured: released afterward,Turdidae,Turdus pallidus
2013,1,1,23.630727,120.615494,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2013,1,4,25.12963896,121.4181948,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,1,4,25.11776223,121.2985474,precise,1,Facebook,captured,Locustellidae,Locustella lanceolata
2013,1,10,23.95678371,121.500144,precise,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,1,12,23.57735191,120.7482014,precise,1,Facebook,flew away,Megalaimidae,Psilopogon nuchalis
2013,1,12,23.57735191,120.7482014,precise,1,Facebook,flew away,Accipitridae,Accipiter trivirgatus
2013,1,13,--,--,not provided,1,Facebook,found dead,Pycnonotidae,Hypsipetes leucocephalus
2013,1,14,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,1,15,24.1048405,120.6415037,acceptable,1,Facebook,found dead,Turdidae,Turdus pallidus
2013,1,22,23.84587295,121.5224368,precise,1,Facebook,captured,Turdidae,Zoothera aurea
2013,2,1,25.0416263,121.6340507,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2013,2,2,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,2,4,25.03132926,121.5148826,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,2,25,24.81146353,121.7625328,precise,1,Facebook,flew away,Passeridae,Passer montanus
2013,3,2,--,--,not provided,1,Facebook,captured: released afterward,Zosteropidae,Zosterops simplex
2013,3,3,--,--,not provided,1,Facebook,captured,Columbidae,Streptopelia chinensis
2013,3,3,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,3,4,--,--,not provided,1,Facebook,captured,Accipitridae,Accipiter virgatus
2013,3,8,25.03981615,121.2424639,acceptable,1,Facebook,uncertain,Columbidae,Streptopelia chinensis
2013,3,9,24.1497456,120.6378567,precise,1,TaiRON,found dead,Columbidae,Streptopelia tranquebarica
2013,3,12,--,--,not provided,1,Facebook,captured,Pycnonotidae,Hypsipetes leucocephalus
2013,3,12,23.95346477,121.1792018,acceptable,1,Facebook,flew away,Corvidae,Dendrocitta formosae
2013,3,13,--,--,not provided,1,Facebook,captured: released afterward,Turdidae,Turdus obscurus
2013,3,20,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2013,3,20,24.17052802,120.6196066,acceptable,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,3,21,--,--,not provided,1,Facebook,captured: released afterward,Sturnidae,Aplonis panayensis
2013,3,26,--,--,not provided,1,Facebook,found dead,Monarchidae,Hypothymis azurea
2013,3,28,24.17052802,120.6196066,acceptable,1,Facebook,uncertain,Megalaimidae,Psilopogon nuchalis
2013,3,31,23.29084947,120.5000502,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2013,4,1,24.26856271,120.5915566,precise,2,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2013,4,6,--,--,not provided,1,Facebook,found dead,Turdidae,Zoothera aurea
2013,4,6,22.6999473,120.6442198,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2013,4,7,23.12557683,120.31838,precise,1,Facebook,found dead,Passeridae,Passer montanus
2013,4,7,23.12557683,120.31838,precise,1,Facebook,captured,Passeridae,Passer montanus
2013,4,7,24.64461173,121.7301338,precise,1,Facebook,uncertain,Passeridae,Passer montanus
2013,4,11,22.34236297,120.3644821,precise,1,Facebook,captured,Alcedinidae,Alcedo atthis
2013,4,22,22.74595764,121.1487073,acceptable,1,Facebook,uncertain,Alcedinidae,Halcyon coromanda
2013,4,23,--,--,not provided,1,Facebook,flew away,Columbidae,Streptopelia chinensis
2013,4,25,--,--,not provided,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2013,4,26,24.86836279,121.4150859,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,4,29,24.57460859,120.9957317,vague,1,Facebook,uncertain,Megalaimidae,Psilopogon nuchalis
2013,4,--,--,--,not provided,1,Facebook,uncertain,Alcedinidae,Alcedo atthis
2013,4,--,--,--,not provided,2,Facebook,captured: dead afterward,Alcedinidae,Alcedo atthis
2013,5,4,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2013,5,13,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,5,23,--,--,not provided,1,Facebook,uncertain,Locustellidae,Locustella ochotensis
2013,5,23,23.84644115,120.6545424,precise,1,Facebook,captured,Passeridae,Passer montanus
2013,5,25,23.19447169,120.3705138,acceptable,1,Facebook,captured,Alcedinidae,Alcedo atthis
2013,5,26,--,--,not provided,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2013,6,5,23.020645,120.328456,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,6,11,--,--,not provided,1,Facebook,uncertain,Columbidae,Chalcophaps indica
2013,6,12,--,--,not provided,1,Facebook,sent to rescue center,Megalaimidae,Psilopogon nuchalis
2013,6,19,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2013,6,21,25.00151838,121.6739806,precise,1,Facebook,uncertain,Muscicapidae,Myophonus insularis
2013,6,23,23.674005,120.795179,precise,1,TaiRON,found dead,Leiothrichidae,Actinodura morrisoniana
2013,6,24,--,--,not provided,1,Facebook,uncertain,Alcedinidae,Alcedo atthis
2013,6,26,25.02296523,121.2892498,precise,1,Facebook,captured: dead afterward,Alcedinidae,Alcedo atthis
2013,6,29,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Hypsipetes leucocephalus
2013,6,30,22.97537529,120.4678212,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,7,5,--,--,not provided,1,Facebook,found dead,Passeridae,Passer montanus
2013,7,6,24.39137099,120.7955527,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2013,7,17,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,7,18,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,7,18,22.55471926,120.3839272,precise,1,Facebook,uncertain,Passeridae,Passer montanus
2013,7,19,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2013,7,19,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2013,7,25,22.91276652,120.4701276,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2013,7,30,--,--,not provided,1,Facebook,uncertain,Muscicapidae,Myophonus insularis
2013,8,9,24.91682792,121.4141146,precise,1,Facebook,captured,Accipitridae,Accipiter trivirgatus
2013,8,10,23.18281689,120.1112358,precise,1,Facebook,captured: flew away afterward,Cisticolidae,Prinia inornata
2013,8,14,--,--,not provided,1,Facebook,captured,Accipitridae,Spilornis cheela
2013,8,15,--,--,not provided,1,Facebook,uncertain,Columbidae,Chalcophaps indica
2013,8,19,--,--,not provided,1,Facebook,captured,Accipitridae,Spilornis cheela
2013,8,20,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,8,24,--,--,not provided,1,Facebook,uncertain,Columbidae,Streptopelia chinensis
2013,8,27,--,--,not provided,1,Facebook,flew away,Accipitridae,Accipiter trivirgatus
2013,8,27,22.71835107,120.3466786,precise,1,Facebook,uncertain,Accipitridae,Accipiter trivirgatus
2013,8,31,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2013,9,2,23.00221614,120.1396792,precise,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2013,9,3,23.453071,120.559028,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2013,9,4,23.36286215,121.3167393,precise,1,Facebook,uncertain,Columbidae,Chalcophaps indica
2013,9,8,22.57326448,120.3726763,precise,1,Facebook,captured,Laniidae,Lanius cristatus
2013,9,9,25.00036188,121.546327,precise,1,Facebook,captured,Passeridae,Passer montanus
2013,9,13,23.6947,120.6268,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,9,18,--,--,not provided,1,Facebook,sent to rescue center,Pycnonotidae,Pycnonotus sinensis
2013,9,18,24.70048822,121.7691951,precise,1,Facebook,uncertain,Motacillidae,Motacilla cinerea
2013,9,20,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,9,20,--,--,not provided,1,Facebook,captured: released afterward,Alcedinidae,Alcedo atthis
2013,9,25,--,--,not provided,1,Facebook,captured,Columbidae,Chalcophaps indica
2013,9,25,22.52588055,120.6292502,acceptable,1,Facebook,captured,Columbidae,Chalcophaps indica
2013,9,25,--,--,not provided,1,Facebook,captured: flew away afterward,Passeridae,Passer montanus
2013,10,2,25.01872517,121.5368348,precise,1,Facebook,found dead,Zosteropidae,Zosterops simplex
2013,10,2,22.6236169,120.2975204,precise,1,Facebook,found dead,Laniidae,Lanius cristatus
2013,10,4,--,--,not provided,1,Facebook,captured,Locustellidae,Locustella ochotensis
2013,10,7,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,10,7,24.44812,120.88139,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2013,10,13,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2013,10,13,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,10,15,--,--,not provided,1,Facebook,captured: released afterward,Accipitridae,Accipiter trivirgatus
2013,10,16,22.99737264,120.193883,precise,1,Facebook,captured,Strigidae,Ninox japonica
2013,10,24,--,--,not provided,1,Facebook,captured: released afterward,Megalaimidae,Psilopogon nuchalis
2013,10,24,--,--,not provided,1,Facebook,captured,Locustellidae,Locustella ochotensis
2013,10,24,24.68247737,121.7731574,precise,1,Facebook,flew away,Columbidae,Streptopelia chinensis
2013,10,24,--,--,not provided,1,Facebook,uncertain,Accipitridae,Accipiter virgatus
2013,10,27,23.580467,121.399126,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2013,10,28,--,--,not provided,1,Facebook,captured,Accipitridae,Accipiter trivirgatus
2013,10,28,24.85116961,121.8158237,acceptable,1,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2013,11,4,22.687263,120.307515,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2013,11,4,24.99661888,121.483326,precise,1,Facebook,captured,Pycnonotidae,Pycnonotus sinensis
2013,11,5,23.17912752,120.2545248,precise,1,Facebook,captured,Passeridae,Passer montanus
2013,11,5,24.67286717,121.756686,precise,1,TaiRON,found dead,Muscicapidae,Ficedula narcissina
2013,11,6,22.01371753,120.7418023,precise,1,Facebook,uncertain,Muscicapidae,Calliope calliope
2013,11,7,22.78625972,121.0946351,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2013,11,8,24.13859997,120.6400886,precise,1,Facebook,captured,Muscicapidae,Calliope calliope
2013,11,9,23.67290779,121.4376896,precise,1,Facebook,uncertain,Muscicapidae,Phoenicurus auroreus
2013,11,14,--,--,not provided,1,Facebook,captured,Alcedinidae,Alcedo atthis
2013,11,18,23.68067336,120.5607042,precise,1,Facebook,uncertain,Accipitridae,Accipiter trivirgatus
2013,11,19,--,--,not provided,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2013,11,20,--,--,not provided,1,Facebook,found dead,Turdidae,Turdus obscurus
2013,11,20,--,--,not provided,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2013,11,21,--,--,not provided,1,Facebook,found dead,Accipitridae,Accipiter trivirgatus
2013,11,22,24.68291114,120.8854902,precise,1,Facebook,found dead,Columbidae,Streptopelia tranquebarica
2013,11,23,--,--,not provided,1,Facebook,uncertain,Megalaimidae,Psilopogon nuchalis
2013,11,26,24.78983,121.183523,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2013,11,27,23.96304917,120.6845618,acceptable,1,Facebook,captured,Strigidae,Otus lettia
2013,11,29,--,--,not provided,1,Facebook,captured: released afterward,Turdidae,Turdus pallidus
